album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
Goblin,1,2evuIbUcuoQvaxXyzd11mp,Goblin,spotify:track:2evuIbUcuoQvaxXyzd11mp,0.534,0.456,0.529,0,0.219,-12.651,0.828,78.235,0.444,9,"Tyler, the creator"
Goblin,2,4repMe7ou7bz7L33HQfuV0,Yonkers,spotify:track:4repMe7ou7bz7L33HQfuV0,0.0161,0.712,0.759,0.0808,0.217,-5.397,0.334,79.102,0.738,14,"Tyler, the creator"
Goblin,3,5VX4NUwY6Y2Tb282s5okwj,Radicals,spotify:track:5VX4NUwY6Y2Tb282s5okwj,0.154,0.562,0.68,0.0955,0.269,-8.015,0.498,74.06,0.224,9,"Tyler, the creator"
Goblin,4,1bO2vxNEE0CTehNo4LoNIa,She,spotify:track:1bO2vxNEE0CTehNo4LoNIa,0.256,0.35,0.621,3.44E-05,0.613,-6.495,0.233,83.375,0.459,19,"Tyler, the creator"
Goblin,5,3NwY1257odCmL1ncBr7fL0,Transylvania,spotify:track:3NwY1257odCmL1ncBr7fL0,0.0115,0.572,0.638,0.0104,0.201,-11.868,0.424,122.448,0.197,8,"Tyler, the creator"
Goblin,6,5ilnWEYzrVIIdHCQygOnOQ,Nightmare,spotify:track:5ilnWEYzrVIIdHCQygOnOQ,0.0143,0.647,0.627,0,0.14,-10.555,0.458,87.804,0.636,9,"Tyler, the creator"
Goblin,7,5lR5Vh8egBOOhrc6Tt2t0B,Tron Cat,spotify:track:5lR5Vh8egBOOhrc6Tt2t0B,0.0302,0.632,0.634,0,0.153,-8.415,0.274,81,0.39,9,"Tyler, the creator"
Goblin,8,2D4LbVHPSNyBPE6UPJFhhs,Her,spotify:track:2D4LbVHPSNyBPE6UPJFhhs,0.00385,0.802,0.369,0.000101,0.114,-13.218,0.432,145.834,0.494,7,"Tyler, the creator"
Goblin,9,1ohZi8cURQx7V0mmmpxEL3,Sandwitches,spotify:track:1ohZi8cURQx7V0mmmpxEL3,0.0676,0.576,0.587,2.21E-06,0.204,-9.763,0.222,152.468,0.373,6,"Tyler, the creator"
Goblin,10,25ABwmggHFy7ZfUbk3wmB1,Fish,spotify:track:25ABwmggHFy7ZfUbk3wmB1,0.319,0.694,0.505,0,0.0809,-12.436,0.331,119.271,0.212,7,"Tyler, the creator"
Goblin,11,2sfFLzeZj86kKaQngyyYd5,Analog,spotify:track:2sfFLzeZj86kKaQngyyYd5,0.00444,0.364,0.699,0.00093,0.772,-9.473,0.29,87.083,0.427,7,"Tyler, the creator"
