album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
Black Sabbath,1,6KmJMlyPp0rPR7LloToCaF,Black Sabbath (2009 - Remaster),spotify:track:6KmJMlyPp0rPR7LloToCaF,0.0921,0.326,0.506,0.0659,0.159,-10.597,0.0393,133.527,0.105,16,Black Sabbath
Black Sabbath,2,02VKxjok07ypt3oFlGRjmH,The Wizard (2009 - Remaster),spotify:track:02VKxjok07ypt3oFlGRjmH,0.036,0.497,0.792,0.000294,0.317,-7.807,0.0874,99.697,0.369,13,Black Sabbath
Black Sabbath,3,5JYanX4zPe3uX3nShgE0qR,Behind the Wall of Sleep (2009 - Remaster),spotify:track:5JYanX4zPe3uX3nShgE0qR,0.00867,0.358,0.481,0.00297,0.297,-12.533,0.0352,90.75,0.708,7,Black Sabbath
Black Sabbath,4,3XclwoQxz4p6Dl7VUf90KW,N.I.B. (2009 - Remaster),spotify:track:3XclwoQxz4p6Dl7VUf90KW,0.141,0.463,0.552,9.66e-06,0.129,-9.403,0.0605,105.495,0.421,26,Black Sabbath
Black Sabbath,5,046x8yuXjJFPaaQI6Iyz9e,"Evil Woman, Don't Play Your Games with Me (2009 - Remaster)",spotify:track:046x8yuXjJFPaaQI6Iyz9e,0.00812,0.598,0.639,2.99e-06,0.17,-9.853,0.0403,137.007,0.714,7,Black Sabbath
Black Sabbath,6,1K8N1137M0cVuKEzLTBmLg,Sleeping Village (2009 - Remaster),spotify:track:1K8N1137M0cVuKEzLTBmLg,0.39,0.332,0.526,0.479,0.106,-13.294,0.0591,138.975,0.189,3,Black Sabbath
Black Sabbath,7,5WQOEqeiGrGhtMDqZBpu80,Warning (2009 - Remaster),spotify:track:5WQOEqeiGrGhtMDqZBpu80,0.097,0.379,0.701,0.00911,0.108,-9.168,0.0639,127.057,0.408,7,Black Sabbath
Black Sabbath,8,2X0g40RcASNCKcum3drycX,Wicked World (2009 - Remaster),spotify:track:2X0g40RcASNCKcum3drycX,0.0198,0.331,0.567,0.827,0.166,-8.615,0.13,66.786,0.626,6,Black Sabbath
Paranoid,1,6TYQRlRci6AkVrN9a5C7ne,War Pigs (2009 - Remaster),spotify:track:6TYQRlRci6AkVrN9a5C7ne,0.128,0.369,0.679,0.0125,0.197,-9.729,0.0742,91.883,0.508,20,Black Sabbath
Paranoid,2,3Jnxngdff0lVu2rza1GVx6,Paranoid (2009 - Remaster),spotify:track:3Jnxngdff0lVu2rza1GVx6,6.28e-05,0.423,0.685,0.00642,0.133,-9.651,0.078,162.78,0.328,23,Black Sabbath
Paranoid,3,4zgHtuasZkiZu1caZwxF5P,Planet Caravan (2009 - Remaster),spotify:track:4zgHtuasZkiZu1caZwxF5P,0.925,0.442,0.121,0.899,0.088,-22.399,0.0366,90.079,0.383,16,Black Sabbath
Paranoid,4,755bvJDSA3LNcNuFgBT9LK,Iron Man (2009 - Remaster),spotify:track:755bvJDSA3LNcNuFgBT9LK,0.00312,0.334,0.828,0.0043,0.0949,-9.168,0.0985,157.891,0.515,20,Black Sabbath
Paranoid,5,37gJgdjcyAIeeAeWzEIawU,Electric Funeral (2009 - Remaster),spotify:track:37gJgdjcyAIeeAeWzEIawU,0.301,0.378,0.525,1.72e-05,0.179,-11.02,0.045,125.797,0.368,4,Black Sabbath
Paranoid,6,0lML2jl6n8f1612DJN4xak,Hand of Doom (2009 - Remaster),spotify:track:0lML2jl6n8f1612DJN4xak,0.0268,0.459,0.59,0.00268,0.111,-10.747,0.0751,141.616,0.295,2,Black Sabbath
Paranoid,7,3ftoEGGpfJ9By9g4obMXG8,Rat Salad (2009 - Remaster),spotify:track:3ftoEGGpfJ9By9g4obMXG8,0.0092,0.512,0.524,0.872,0.183,-15.111,0.113,126.985,0.582,1,Black Sabbath
Paranoid,8,0p9dEwFFw14hWTvS9v5NLU,Fairies Wear Boots (2009 - Remaster),spotify:track:0p9dEwFFw14hWTvS9v5NLU,0.00154,0.432,0.694,0.0492,0.249,-9.095,0.0412,135.878,0.706,4,Black Sabbath
Master of Reality,1,1bJ5FuncHc6wyDHBvJ0xF6,Sweet Leaf (2009 - Remaster),spotify:track:1bJ5FuncHc6wyDHBvJ0xF6,0.00362,0.382,0.706,0.0139,0.132,-8.101,0.0447,147.392,0.713,16,Black Sabbath
Master of Reality,2,079j6LwNuB2sn81TkVl8js,After Forever (2009 - Remaster),spotify:track:079j6LwNuB2sn81TkVl8js,0.00327,0.422,0.689,0.00722,0.124,-12.559,0.0374,95.433,0.456,7,Black Sabbath
Master of Reality,3,7thjLpTP9JgsMgRSW3Ft6f,Embryo (2009 - Remaster),spotify:track:7thjLpTP9JgsMgRSW3Ft6f,0.948,0.786,0.26,0.233,0.0995,-11.961,0.0568,79.527,0.97,0,Black Sabbath
Master of Reality,4,0ElAcOj8tudMA6X6KZ7SMO,Children of the Grave (2009 - Remaster),spotify:track:0ElAcOj8tudMA6X6KZ7SMO,0.0352,0.337,0.722,0.052,0.101,-11.384,0.0478,149.103,0.28,24,Black Sabbath
Master of Reality,5,42HN6p1xRxAn439UH1MJ6G,Orchid (2009 - Remaster),spotify:track:42HN6p1xRxAn439UH1MJ6G,0.694,0.463,0.0798,0.929,0.166,-25.82,0.0576,67.814,0.651,6,Black Sabbath
