name,id,album,artist,energy,danceability,loudness,instrumentalness,popularity,labels
Black Sabbath (2009 - Remaster),6KmJMlyPp0rPR7LloToCaF,Black Sabbath,Black Sabbath,0.506,0.326,-10.597000000000001,0.0659,16,0
The Wizard (2009 - Remaster),02VKxjok07ypt3oFlGRjmH,Black Sabbath,Black Sabbath,0.792,0.49700000000000005,-7.807,0.000294,13,0
Behind the Wall of Sleep (2009 - Remaster),5JYanX4zPe3uX3nShgE0qR,Black Sabbath,Black Sabbath,0.48100000000000004,0.358,-12.533,0.00297,7,0
N.I.B. (2009 - Remaster),3XclwoQxz4p6Dl7VUf90KW,Black Sabbath,Black Sabbath,0.552,0.46299999999999997,-9.402999999999999,9.66e-06,26,0
"Evil Woman, Don't Play Your Games with Me (2009 - Remaster)",046x8yuXjJFPaaQI6Iyz9e,Black Sabbath,Black Sabbath,0.639,0.598,-9.853,2.99e-06,7,0
Sleeping Village (2009 - Remaster),1K8N1137M0cVuKEzLTBmLg,Black Sabbath,Black Sabbath,0.526,0.332,-13.294,0.479,3,0
Warning (2009 - Remaster),5WQOEqeiGrGhtMDqZBpu80,Black Sabbath,Black Sabbath,0.701,0.379,-9.168,0.00911,7,0
War Pigs (2009 - Remaster),6TYQRlRci6AkVrN9a5C7ne,Paranoid,Black Sabbath,0.679,0.369,-9.729,0.0125,20,0
Paranoid (2009 - Remaster),3Jnxngdff0lVu2rza1GVx6,Paranoid,Black Sabbath,0.685,0.423,-9.651,0.00642,23,0
Iron Man (2009 - Remaster),755bvJDSA3LNcNuFgBT9LK,Paranoid,Black Sabbath,0.828,0.33399999999999996,-9.168,0.0043,20,0
Electric Funeral (2009 - Remaster),37gJgdjcyAIeeAeWzEIawU,Paranoid,Black Sabbath,0.525,0.37799999999999995,-11.02,1.7199999999999998e-05,4,0
Hand of Doom (2009 - Remaster),0lML2jl6n8f1612DJN4xak,Paranoid,Black Sabbath,0.59,0.45899999999999996,-10.747,0.00268,2,0
Fairies Wear Boots (2009 - Remaster),0p9dEwFFw14hWTvS9v5NLU,Paranoid,Black Sabbath,0.6940000000000001,0.43200000000000005,-9.095,0.0492,4,0
Sweet Leaf (2009 - Remaster),1bJ5FuncHc6wyDHBvJ0xF6,Master of Reality,Black Sabbath,0.706,0.382,-8.101,0.0139,16,0
After Forever (2009 - Remaster),079j6LwNuB2sn81TkVl8js,Master of Reality,Black Sabbath,0.6890000000000001,0.42200000000000004,-12.559000000000001,0.00722,7,0
Embryo (2009 - Remaster),7thjLpTP9JgsMgRSW3Ft6f,Master of Reality,Black Sabbath,0.26,0.7859999999999999,-11.960999999999999,0.233,0,0
Children of the Grave (2009 - Remaster),0ElAcOj8tudMA6X6KZ7SMO,Master of Reality,Black Sabbath,0.722,0.337,-11.384,0.052000000000000005,24,0
Lord of this World (2009 - Remaster),4KuWbO1sfQeSiOd9wcZCbZ,Master of Reality,Black Sabbath,0.6459999999999999,0.39,-10.764000000000001,0.00137,7,0
Into the Void (2009 - Remaster),09EQqFGUTJW6X4NksMPM0O,Master of Reality,Black Sabbath,0.614,0.36700000000000005,-11.96,0.0519,13,0
Wheels of Confusion (2009 - Remaster),61zDwmHFXYYNjKTTpT5GOR,Vol. 4,Black Sabbath,0.69,0.281,-10.909,0.159,6,0
Tomorrow's Dream (2009 - Remaster),7gygnGtI9S3TE9Z5Yrqhig,Vol. 4,Black Sabbath,0.693,0.503,-9.495,0.000611,5,0
Changes (2009 - Remaster),2wNEcJHnFxoKZIrxjxF5jL,Vol. 4,Black Sabbath,0.319,0.155,-9.968,5.26e-06,19,0
Supernaut (2009 - Remaster),03qx2RKyfJ4gPXMYvYN8Pt,Vol. 4,Black Sabbath,0.83,0.392,-10.095,0.00718,8,0
Snowblind (2009 - Remaster),0VfXQxbM0doaDw2fMI8Ima,Vol. 4,Black Sabbath,0.797,0.433,-9.466000000000001,0.000536,11,0
Cornucopia (2009 - Remaster),327Ec0FooWSZMtVd7zPng2,Vol. 4,Black Sabbath,0.444,0.322,-11.786,0.00023700000000000001,4,0
Laguna Sunrise (2009 - Remaster),2HuDXpZPIXiEQbFBUXqktZ,Vol. 4,Black Sabbath,0.191,0.359,-17.148,0.14,1,0
St. Vitus Dance (2009 - Remaster),2KzvrcvbF1vivbHpPthtB9,Vol. 4,Black Sabbath,0.47700000000000004,0.366,-11.616,0.018000000000000002,1,0
Under the Sun (2009 - Remaster),3Ot5N9GGKyybaylaNUmESl,Vol. 4,Black Sabbath,0.526,0.27699999999999997,-12.139000000000001,0.00344,5,0
Sabbath Bloody Sabbath (2009 - Remaster),29KYPEsbcMcVKnd6iyu6Q5,Sabbath Bloody Sabbath,Black Sabbath,0.616,0.364,-8.162,0.000194,17,0
A National Acrobat (2009 - Remaster),6iJuDBangLQkI7cc9MdjPw,Sabbath Bloody Sabbath,Black Sabbath,0.6629999999999999,0.396,-11.696,0.0139,9,0
Sabbra Cadabra (2009 - Remaster),1qdXodVqWyuzRKMDzAz1Xe,Sabbath Bloody Sabbath,Black Sabbath,0.647,0.33299999999999996,-12.267000000000001,0.245,8,0
Killing Yourself to Live (2009 - Remaster),1qykMIVb09E9dv6BylCUab,Sabbath Bloody Sabbath,Black Sabbath,0.737,0.23199999999999998,-7.709,0.0289,6,0
Who Are You? (2009 - Remaster),0nphlP8tsdRO2LKV5HtaIW,Sabbath Bloody Sabbath,Black Sabbath,0.271,0.235,-13.384,0.00627,3,0
Looking for Today (2009 - Remaster),5AZQ7ekBzg4WqAcjOF9srW,Sabbath Bloody Sabbath,Black Sabbath,0.6659999999999999,0.515,-11.375,1.8100000000000003e-05,1,0
Spiral Architect (2009 - Remaster),1ZzqTaeA2pmnxK2uXPU61S,Sabbath Bloody Sabbath,Black Sabbath,0.385,0.306,-8.918,7.08e-05,2,0
Back Street Kids (2009 - Remaster),07bmStuZhMqJ0S5Z1IAqIS,Technical Ecstasy,Black Sabbath,0.941,0.439,-5.122999999999999,0.172,0,0
You Won't Change Me (2009 - Remaster),6y68vqdS3x7O1DXhz6YpGQ,Technical Ecstasy,Black Sabbath,0.816,0.19399999999999998,-6.087999999999999,0.00811,1,0
It's Alright (2009 - Remaster),3UbbBnI212zbcABp1XwLNd,Technical Ecstasy,Black Sabbath,0.725,0.33399999999999996,-8.203,0.00759,1,0
Gypsy (2009 - Remaster),7EqJtCJT2qcUriQ74LgIg3,Technical Ecstasy,Black Sabbath,0.809,0.382,-5.4910000000000005,0.38,0,0
All Moving Parts (Stand Still) (2009 - Remaster),68pn6xrOzjpeiRcOVuRA6m,Technical Ecstasy,Black Sabbath,0.867,0.21,-5.721,0.627,0,0
Rock 'N' Roll Doctor (2009 - Remaster),6Ee0lLwmZOmb6a6PDEYzV6,Technical Ecstasy,Black Sabbath,0.9690000000000001,0.396,-4.555,0.0417,0,0
She's Gone (2009 - Remaster),3OTuk8HnFNJVgUkbH84IQu,Technical Ecstasy,Black Sabbath,0.289,0.46399999999999997,-11.530999999999999,0.000662,1,0
Dirty Women (2009 - Remaster),2sZSoZPZjsuI5WdgIgja1V,Technical Ecstasy,Black Sabbath,0.7929999999999999,0.23600000000000002,-8.755,0.743,1,0
Never Say Die (2009 - Remaster),42aY1pEcjp3GWENE6LUPnx,Never Say Die!,Black Sabbath,0.6679999999999999,0.318,-8.875,0.14300000000000002,5,0
Johnny Blade (2009 - Remaster),2P86gmUBBsPDkCBU7XA25g,Never Say Die!,Black Sabbath,0.883,0.204,-5.254,0.0035299999999999997,1,0
Junior's Eyes (2009 - Remaster),0hDOC0xEIdIlNCpqEFntqq,Never Say Die!,Black Sabbath,0.889,0.462,-5.707000000000001,0.44,1,0
A Hard Road (2009 - Remaster),3xx00sNjKzUEQTKKtusd2u,Never Say Die!,Black Sabbath,0.763,0.3,-10.444,0.56,0,0
Shock Wave (2009 - Remaster),2FF4CJKB9LyRN5b22iNiKq,Never Say Die!,Black Sabbath,0.94,0.35200000000000004,-4.314,6.56e-05,0,0
Air Dance (2009 - Remaster),4NuihFxwOYEiWG2LaWzR1W,Never Say Die!,Black Sabbath,0.5329999999999999,0.335,-6.832999999999999,0.292,0,0
Over to You (2009 - Remaster),0mf2bwgS0JlL425FqLWkp6,Never Say Die!,Black Sabbath,0.5479999999999999,0.158,-5.67,0.00033,0,0
Swinging the Chain (2009 - Remaster),3UplFlxzKSnNTuSvseQqBR,Never Say Die!,Black Sabbath,0.877,0.18,-4.338,0.00518,0,0
Tomorrow's Dream (Live),6H8Bde9XSmT6ZfUOFfzOSn,Live At Last,Black Sabbath,0.8320000000000001,0.39799999999999996,-10.953,0.309,0,0
Sweet Leaf (Live),5X7Vrqm6UgZvc3CwulTJT2,Live At Last,Black Sabbath,0.7240000000000001,0.428,-11.729000000000001,0.254,0,0
Killing Yourself to Live (Live),1Zi599j4PW3zCXKmMEqEpj,Live At Last,Black Sabbath,0.772,0.243,-11.026,0.0393,0,0
Cornucopia (Live),3XvZ0AvNrul5H99BP3uq7n,Live At Last,Black Sabbath,0.68,0.136,-12.520999999999999,0.113,0,0
Snowblind (Live),1Gun95U6cN0ClMBwWLCyWA,Live At Last,Black Sabbath,0.7809999999999999,0.409,-12.545,0.17600000000000002,0,0
Children of the Grave (Live),2MLYrbfTBjwVCgpon1jxoA,Live At Last,Black Sabbath,0.6890000000000001,0.185,-13.442,0.0111,0,0
War Pigs (Live),3pWkSRYd0BEgR45Txs1xzL,Live At Last,Black Sabbath,0.7829999999999999,0.289,-12.802999999999999,0.0164,0,0
