name,id,album,artist,energy,danceability,loudness,instrumentalness,popularity,labels
Goblin,2evuIbUcuoQvaxXyzd11mp,Goblin,"Tyler, the creator",0.529,0.456,-12.651,0.0,9,0
Transylvania,3NwY1257odCmL1ncBr7fL0,Goblin,"Tyler, the creator",0.638,0.5720000000000001,-11.868,0.0104,8,0
Nightmare,5ilnWEYzrVIIdHCQygOnOQ,Goblin,"Tyler, the creator",0.627,0.647,-10.555,0.0,9,0
Tron Cat,5lR5Vh8egBOOhrc6Tt2t0B,Goblin,"Tyler, the creator",0.634,0.632,-8.415,0.0,9,0
Her,2D4LbVHPSNyBPE6UPJFhhs,Goblin,"Tyler, the creator",0.369,0.802,-13.218,0.000101,7,0
Sandwitches,1ohZi8cURQx7V0mmmpxEL3,Goblin,"Tyler, the creator",0.5870000000000001,0.5760000000000001,-9.763,2.21e-06,6,0
Fish,25ABwmggHFy7ZfUbk3wmB1,Goblin,"Tyler, the creator",0.505,0.6940000000000001,-12.436,0.0,7,0
B.S.D.,7nBdgoOqat069BctlkQPqv,Goblin,"Tyler, the creator",0.47,0.627,-9.806000000000001,0.0,4,0
Window,5XZ4qK5P0NC2eZA03EQpLW,Goblin,"Tyler, the creator",0.508,0.505,-11.190999999999999,0.0,6,0
AU79,4dFi17Rws1xmlOlp4wPj3z,Goblin,"Tyler, the creator",0.344,0.499,-14.841,0.7170000000000001,4,0
WOLF,2JZpS2sOdJy37oBpn1GuPW,Wolf,"Tyler, the creator",0.303,0.426,-11.52,0.00795,52,0
Jamba (feat. Hodgy),3Z5pXxCb0O6L53vejFHhqQ,Wolf,"Tyler, the creator",0.488,0.722,-7.547000000000001,3.28e-06,54,0
Domo23,75kiQfmmuQwgquZ9RLSvuA,Wolf,"Tyler, the creator",0.565,0.726,-5.564,0.0,57,0
Colossus,5AnVuHLmgipXkFmBvj2Q6H,Wolf,"Tyler, the creator",0.6,0.442,-9.087,0.0,60,0
"PartyIsntOver/Campfire/Bimmer (feat. Frank Ocean, feat. Laetitia Sadier, feat. Laetitia Sadier & Frank Ocean)",04QTBqa3IA4ZAKEuqRPzEH,Wolf,"Tyler, the creator",0.5760000000000001,0.44299999999999995,-8.696,0.0193,59,0
Parking Lot (feat. Casey Veggies & Mike G),1UBLglX9fPtTBZSwJj4yVG,Wolf,"Tyler, the creator",0.511,0.5479999999999999,-10.424000000000001,0.0,48,0
"Trashwang (feat. Na' kel, Jasper Dolphin, Lucas, L-Boy, Taco, Left Brain & Lee Spielman)",2OaPyH3JLuft6iuNFHFJl0,Wolf,"Tyler, the creator",0.607,0.633,-7.252000000000001,0.0,48,0
Treehome95 (feat. Coco Owino & Erykah Badu),2vLwhcsvRd1f2ETft1kWDN,Wolf,"Tyler, the creator",0.539,0.721,-8.726,0.00257,51,0
"FIND YOUR WINGS (feat. Roy Ayers, Sydney Bennett & Kali Uchis)",7er0EUMY653mxZ1NVD9mwQ,Cherry Bomb,"Tyler, the creator",0.42700000000000005,0.53,-7.337999999999999,0.0832,56,0
KEEP DA O'S (feat. Pharrell Williams & Coco O.),7zdanauvITJaq9OE7bBz0c,Cherry Bomb,"Tyler, the creator",0.596,0.501,-8.443999999999999,0.00022999999999999998,44,0
Where This Flower Blooms (feat. Frank Ocean),6KuXb26rHuRy3ZDse1VRmx,Flower Boy,"Tyler, the creator",0.429,0.6859999999999999,-10.402000000000001,3.41e-06,67,0
Sometimes...,4KgTrzmfiWNcVneh2Dd1Ou,Flower Boy,"Tyler, the creator",0.415,0.552,-11.995999999999999,0.000239,57,0
See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,Flower Boy,"Tyler, the creator",0.5589999999999999,0.5579999999999999,-9.222000000000001,7.49e-06,79,0
Who Dat Boy (feat. A$AP Rocky),21yRtB6B8EMounImAfHRCP,Flower Boy,"Tyler, the creator",0.485,0.706,-9.671,0.0,67,0
Pothole (feat. Jaden Smith),5SxlUF7J8tyFIEF22EomeP,Flower Boy,"Tyler, the creator",0.5720000000000001,0.5429999999999999,-8.974,7.23e-06,60,0
Garden Shed (feat. Estelle),6ACiYjq5Q7e6BlhZEHz7cd,Flower Boy,"Tyler, the creator",0.456,0.423,-8.45,0.016,61,0
Boredom (feat. Rex Orange County & Anna of the North),5WNYg3usc6H8N3MBEp4zVk,Flower Boy,"Tyler, the creator",0.578,0.5589999999999999,-9.54,0.000522,72,0
Droppin' Seeds (feat. Lil' Wayne),39u2PsqrAZpZ0KPx6CjasV,Flower Boy,"Tyler, the creator",0.532,0.401,-11.554,0.0,56,0
Glitter,0qtK3XwbuG153dmwB8iepL,Flower Boy,"Tyler, the creator",0.434,0.449,-11.777000000000001,2.76e-06,69,0
EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,IGOR,"Tyler, the creator",0.498,0.5539999999999999,-8.866,5.98e-06,79,0
I THINK,4f8Mh5wuWHOsfXtzjrJB3t,IGOR,"Tyler, the creator",0.579,0.826,-8.241,0.0,70,0
EXACTLY WHAT YOU RUN FROM YOU END UP CHASING,5e4LIAQI0bClLazNf2gZV0,IGOR,"Tyler, the creator",0.478,0.0,-16.569000000000003,0.0,6,0
RUNNING OUT OF TIME,5QvBXUm5MglLJ3iBfTX2Wo,IGOR,"Tyler, the creator",0.391,0.36,-10.6,0.00040599999999999995,66,0
PUPPET,0wEC0GNF74lAqrEFZJMl1m,IGOR,"Tyler, the creator",0.557,0.508,-8.967,0.0134,63,0
