name,id,album,artist,energy,danceability,loudness,instrumentalness,popularity,labels
Wicked World (2009 - Remaster),2X0g40RcASNCKcum3drycX,Black Sabbath,Black Sabbath,0.5670000000000001,0.331,-8.615,0.8270000000000001,6,1
Planet Caravan (2009 - Remaster),4zgHtuasZkiZu1caZwxF5P,Paranoid,Black Sabbath,0.121,0.442,-22.399,0.899,16,1
Rat Salad (2009 - Remaster),3ftoEGGpfJ9By9g4obMXG8,Paranoid,Black Sabbath,0.524,0.512,-15.110999999999999,0.872,1,1
Orchid (2009 - Remaster),42HN6p1xRxAn439UH1MJ6G,Master of Reality,Black Sabbath,0.0798,0.46299999999999997,-25.82,0.929,6,1
Solitude (2009 - Remaster),6VfoT86lDJ18YhLCDHKgEL,Master of Reality,Black Sabbath,0.0326,0.353,-27.563000000000002,0.743,19,1
FX (2009 - Remaster),3Y76xt18Een14InzWjXcb3,Vol. 4,Black Sabbath,0.09300000000000001,0.526,-27.064,0.935,1,1
Fluff (2009 - Remaster),4gUNTtPmsTzpTdJY3aZbLw,Sabbath Bloody Sabbath,Black Sabbath,0.23600000000000002,0.493,-17.116,0.968,3,1
Breakout (2009 - Remaster),77JrHaXsxcufEjh5mfMmR3,Never Say Die!,Black Sabbath,0.633,0.267,-5.414,0.91,0,1
Stonehenge,7JuHOvF4baFQsaHnfTG5uY,Born Again (Deluxe Edition),Black Sabbath,0.135,0.14,-29.684,0.922,0,1
The Dark,60Hd79yQThIJ3LRJBGOlI5,Born Again (Deluxe Edition),Black Sabbath,0.111,0.265,-25.276,0.9079999999999999,0,1
Stonehenge (Extended Version),6QyGUsnFMm7GRCPfkixaTl,Born Again (Deluxe Edition),Black Sabbath,0.107,0.0888,-32.31,0.8809999999999999,0,1
"The Dark (Live on the BBC Friday Rock Show at The Reading Festival, Saturday August 27th 1983)",03GK2i4qtOgVG2hUVH3hAU,Born Again (Deluxe Edition),Black Sabbath,0.179,0.154,-28.325,0.89,0,1
Sphinx (The Guardian) (2009 Remaster),24NaS7DAteuLDyG2jFOBCQ,Seventh Star,Black Sabbath,0.00358,0.128,-28.66,0.986,0,1
Scarlet Pimpernel (2009 Remaster),34NqoEpKZEVgMfGzTkL5WJ,The Eternal Idol,Black Sabbath,0.28800000000000003,0.5529999999999999,-18.159000000000002,0.591,0,1
