name,id,album,artist,energy,danceability,loudness,instrumentalness,popularity,labels
Yonkers,4repMe7ou7bz7L33HQfuV0,Goblin,"Tyler, the creator",0.759,0.7120000000000001,-5.397,0.0808,14,1
Radicals,5VX4NUwY6Y2Tb282s5okwj,Goblin,"Tyler, the creator",0.68,0.562,-8.015,0.0955,9,1
She,1bO2vxNEE0CTehNo4LoNIa,Goblin,"Tyler, the creator",0.621,0.35,-6.495,3.4399999999999996e-05,19,1
Analog,2sfFLzeZj86kKaQngyyYd5,Goblin,"Tyler, the creator",0.6990000000000001,0.364,-9.472999999999999,0.00093,7,1
Golden,3JozIUgw0YB37FfOa6jNBA,Goblin,"Tyler, the creator",0.76,0.46,-6.734,0.00114,5,1
Cowboy,2hjjUjikOa29kImnI5kQPw,Wolf,"Tyler, the creator",0.66,0.499,-8.514,0.0,51,1
Awkward,6c7l5gpEyCNGr86jsWneGy,Wolf,"Tyler, the creator",0.7759999999999999,0.48,-8.666,0.0265,55,1
Answer,6rqj2zeKhLy3exkuFi6mSz,Wolf,"Tyler, the creator",0.838,0.368,-6.465,5.74e-06,62,1
Slater (feat. Frank Ocean),5wTpnBRTx1HSGQVDZQ2VSh,Wolf,"Tyler, the creator",0.623,0.583,-6.876,4.74e-05,52,1
48,2wK7y55bzry7tUDmDqYaz7,Wolf,"Tyler, the creator",0.887,0.5579999999999999,-8.083,0.0,55,1
IFHY (feat. Pharrell),0NjW4SKY3gbfl2orl1p8hr,Wolf,"Tyler, the creator",0.716,0.36,-6.181,0.0,67,1
Pigs,5L4n81Ecf8UE837uJkuoJJ,Wolf,"Tyler, the creator",0.737,0.441,-6.98,0.00101,49,1
Rusty (feat. Domo Genesis & Earl Sweatshirt),4oQkcfukOHfKsmeoeXQLWC,Wolf,"Tyler, the creator",0.677,0.495,-5.646,0.000265,53,1
Tamale,60b6B2ULC85t4Y5IjZvP7A,Wolf,"Tyler, the creator",0.93,0.742,-7.207000000000001,0.00025,60,1
Lone,6oVFpdtDzSgRLv8rUgFVUW,Wolf,"Tyler, the creator",0.7609999999999999,0.313,-8.509,0.0,49,1
DEATHCAMP (feat. Cole Alexander),1dXYBALYTj3AMxa8hgiQhA,Cherry Bomb,"Tyler, the creator",0.746,0.581,-5.495,0.000276,55,1
BUFFALO (feat. Shane Powers),1qkPQxOTLFmx3bwUOV8Kzw,Cherry Bomb,"Tyler, the creator",0.8240000000000001,0.34600000000000003,-5.053999999999999,0.000266,48,1
